,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
926,MA1537.2.NR2F1,-0.506087750053999,TF_decrease,0.3450520833333333_KS,0.18564615837160856,0.23856791392550603,False,False
927,MA0050.2.IRF1,0.3894003357961012,TF_increase,0.47902775190910785_KS,0.0018309075268996091,0.004118635545659319,True,True
928,MA1531.1.NR1D1,-0.01559014182541345,TF_decrease,0.05347622926431927_KS,0.16785984457891093,0.21893086503058878,False,False
929,MA1643.2.NFIB,0.025558710028883803,TF_increase,0.1703125_KS,0.9198549177444627,0.9296754328805246,False,False
930,MA1140.3.JUNB,-0.011257524830162199,TF_decrease,0.2552702638684921_KS,0.40355301430991425,0.4604363013314312,False,False
931,MA0841.1.NFE2,0.30197744779280655,TF_increase,0.3490762425188655_KS,0.3707285020284386,0.43150366629539577,False,False
932,MA0141.3.ESRRB,0.16490821981899062,TF_increase,0.21776867200596015_KS,0.4588256029685433,0.5108722554540669,False,False
933,MA1601.2.ZNF75D,-0.3971159645911692,TF_decrease,0.28756503642039544_KS,0.713031438596708,0.745173610161785,False,False
934,MA0442.3.SOX10,0.042268377082352405,TF_increase,0.11625015350607884_KS,0.9557403602686813,0.9616661198097625,False,False
935,MA0714.2.PITX3,-0.5792298978574159,TF_decrease,0.2913161220436902_KS,0.01170263652721827,0.020547442186893285,True,False
936,MA0711.2.OTX1,-0.1357180457369602,TF_decrease,0.2397150927176716_KS,0.24301814063450095,0.3017143254216318,False,False
937,MA0625.3.NFATC3,-0.3530103420799369,TF_decrease,0.2712326978323322_KS,0.08763641354296095,0.12491212770991673,False,False
938,MA0914.2.ISL2,-0.1655510183522914,TF_decrease,0.22500326115314376_KS,0.3424558264772082,0.40313970868197774,False,False
939,MA0891.2.GSC2,-0.6747440595678534,TF_decrease,0.41813100534639397_KS,6.454479932397083e-05,0.0002003357705793193,True,True
940,MA0648.2.GSC,-0.6747440595678534,TF_decrease,0.41813100534639397_KS,6.454479932397083e-05,0.0002003357705793193,True,True
941,MA0682.3.PITX1,-0.5792298978574159,TF_decrease,0.2913161220436902_KS,0.01170263652721827,0.020547442186893285,True,False
942,MA1478.2.DMRTA2,-0.47033446212118124,TF_decrease,0.2897396035755927_KS,0.008831575408012316,0.015924872481749192,True,False
943,MA0635.2.BARHL2,-0.3726073516935688,TF_decrease,0.42613458528951487_KS,0.0056033349448474535,0.010862437708782776,True,False
944,MA0877.4.BARHL1,-0.3726073516935688,TF_decrease,0.42613458528951487_KS,0.0056033349448474535,0.010862437708782776,True,False
945,MA0442.1.SOX10,0.3877850576720063,TF_increase,0.2497228019827811_KS,0.23134577409270726,0.2894370037106998,False,False
946,MA0037.1.GATA3,-0.3858318989387927,TF_decrease,0.3974008110944103_KS,9.846033808423295e-06,3.441567509651958e-05,True,True
947,MA1125.1.ZNF384,-0.4366625858083435,TF_decrease,0.7034823284823285_KS,0.5934008833463242,0.634748967496633,False,False
948,MA0833.3.ATF4,0.5886065660788368,TF_increase,0.28607198748043816_KS,0.14152194872251384,0.1867235002889381,False,False
949,MA1589.1.ZNF140,-0.36501205481946897,TF_decrease,0.3268829814959604_KS,0.12241379709654293,0.1647654899308919,False,False
950,MA0846.2.FOXC2,-0.5122368398387798,TF_decrease,0.43972691807542263_KS,0.3205275395380545,0.3808779130912447,False,False
951,MA0504.2.NR2C2,0.31796917373933586,TF_increase,0.26319483436271757_KS,0.2785142197405019,0.33730506783071446,False,False
952,MA2102.1.ZBTB17,-0.5175660536615424,TF_decrease,0.4368338965427606_KS,0.721156479340424,0.7522807718372101,False,False
953,MA1531.2.NR1D1,-0.017710095676884252,TF_decrease,0.05325799764733762_KS,0.1719710057745379,0.22301262849300804,False,False
954,MA0901.3.HOXB13,-0.5020972004234611,TF_decrease,0.33595213319458894_KS,0.5234581008249516,0.5739849445339238,False,False
955,MA0777.1.MYBL2,-0.1155282130482943,TF_decrease,0.4503380135205408_KS,0.45827583495870156,0.5108722554540669,False,False
956,MA0072.2.RORA,-0.768852754759543,TF_decrease,0.7598128411749415_KS,0.11566440833782968,0.15679566571810802,False,False
957,MA0755.1.CUX2,-0.025800002829610338,TF_decrease,0.41070964387834674_KS,0.793707251228686,0.8159741514894003,False,False
958,MA0492.1.JUND,0.2521618866697618,TF_increase,0.21895767481304448_KS,0.06721060650898794,0.09776088219489155,False,False
959,MA1420.1.IRF5,0.31681639045215154,TF_increase,0.6435257410296412_KS,0.09298690505990144,0.13105253595526126,False,False
960,MA0755.2.CUX2,-0.025800002829610338,TF_decrease,0.41070964387834674_KS,0.793707251228686,0.8159741514894003,False,False
961,MA0018.4.CREB1,-0.8176665802185943,TF_decrease,0.7886115444617785_KS,0.019001899083370834,0.0318850182551097,True,False
962,MA0729.1.RARA,-0.05333264830443925,TF_decrease,0.1002628625435643_KS,0.009179631364185559,0.01647403037869636,True,False
963,MA1125.2.ZNF384,-0.4366625858083435,TF_decrease,0.7034823284823285_KS,0.5934008833463242,0.634748967496633,False,False
964,MA0674.2.NKX6-1,-0.6731383369311781,TF_decrease,0.6280884265279584_KS,0.047585488745475454,0.07198018004641826,False,False
965,MA0841.2.NFE2,0.29242575844156105,TF_increase,0.31560874089490115_KS,0.6030569561399064,0.6420550160964701,False,False
966,MA1975.2.ZNF214,0.8294278069326496,TF_increase,0.43474456588480903_KS,0.001999350052802876,0.004453454235262876,True,True
967,MA0083.3.SRF,-0.7260830670641241,TF_decrease,0.49258777633289985_KS,0.20055192624396417,0.25484003155832585,False,False
968,MA1983.2.ZNF582,-0.46502295729114995,TF_decrease,0.39236780411565514_KS,0.06792624946400255,0.09867547236714437,False,False
969,MA0465.1.CDX2,-0.8514164334974672,TF_decrease,0.5370611183355006_KS,0.13370268689092554,0.17806125710210013,False,False
