,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
91,MA1716.1.ZNF76,0.1050504601169667,TF_increase,0.14705404225550203_KS,5.14944672149003e-11,8.562794262591992e-10,True,True
92,MA0833.1.ATF4,-0.2779117218153302,TF_decrease,0.29838626719814837_KS,7.509140937791086e-09,8.245886841121533e-08,True,True
93,MA0697.1.ZIC3,0.10390307821853115,TF_increase,0.24918942511535105_KS,0.11103235180498436,0.2022561150250419,False,False
94,MA1655.1.ZNF341,0.1721794442254121,TF_increase,0.2884594155007838_KS,0.0006666443779597584,0.0029960388260430845,True,True
95,MA0749.1.ZBED1,-0.07729982624516575,TF_decrease,0.13062057812815847_KS,1.7949056809913667e-05,0.00011291942418493393,True,True
96,MA0003.2.TFAP2A,0.16986813898361547,TF_increase,0.2372135003555604_KS,1.0237079449461195e-17,4.96498353298868e-16,True,True
97,MA0258.2.ESR2,-0.023483151240508995,TF_decrease,0.1705263157894737_KS,0.10158304457398057,0.1885847908837534,False,False
98,MA0755.1.CUX2,-0.3195701534318883,TF_decrease,0.4086784943335132_KS,6.608419523631591e-31,7.692200325507172e-28,True,True
99,MA0833.2.ATF4,-0.359857975912911,TF_decrease,0.4144462318121893_KS,1.256814622658858e-13,3.2509604906109128e-12,True,True
100,MA0822.1.HES7,0.11907249559273243,TF_increase,0.22887478796255575_KS,0.017706764811300665,0.04793180055896273,True,False
101,MA1632.1.ATF2,-0.1400209631123178,TF_decrease,0.2253353295242751_KS,0.00018552737754319048,0.0009228797754712552,True,True
102,MA0783.1.PKNOX2,-0.011806964156128745,TF_decrease,0.09509360403104196_KS,0.4847997996435463,0.5996885938204972,False,False
103,MA0485.2.HOXC9,-0.11658572975572198,TF_decrease,0.20962035250645825_KS,0.017442058124163044,0.04732530456066616,True,False
104,MA1632.2.ATF2,-0.1427630690743384,TF_decrease,0.22846103668021475_KS,0.0001582172637017812,0.0007972506274843001,True,True
105,MA0834.1.ATF7,-0.5152449335822374,TF_decrease,0.47032471142212484_KS,4.5053618589215714e-11,7.945820005734408e-10,True,True
106,MA1928.1.BNC2,-0.10508110267387365,TF_decrease,0.2376499647141849_KS,1.816708619728018e-05,0.00011308282531355148,True,True
107,MA0865.3.E2F8,0.1314430789287138,TF_increase,0.21870977233439995_KS,0.0013679658195853857,0.005509730844281623,True,True
108,MA0597.1.THAP1,0.2182398021569008,TF_increase,0.3569697868763289_KS,5.350312509733435e-06,3.66339044784101e-05,True,True
109,MA0745.1.SNAI2,-0.324479147583747,TF_decrease,0.3871385083713851_KS,0.0063478212754883665,0.020411226421736074,True,False
110,MA0867.2.SOX4,-0.028033221439100295,TF_decrease,0.15965811965811966_KS,0.8468166426305057,0.8799250088914772,False,False
111,MA1647.1.PRDM4,0.026383563857689606,TF_increase,0.13565803365309329_KS,0.15230759347083442,0.2573092000000744,False,False
112,MA0695.1.ZBTB7C,0.088881700309871,TF_increase,0.20576725025746653_KS,0.21283259385463785,0.32554157588278376,False,False
113,MA0112.3.ESR1,0.022716476909576955,TF_increase,0.09115803170096995_KS,0.276598046130434,0.3945589775684132,False,False
114,MA0729.1.RARA,0.0217532385918172,TF_increase,0.052216131309845856_KS,0.5824879506688405,0.6881840596175447,False,False
115,MA1503.1.HOXB9,-0.11870680210363771,TF_decrease,0.2074145479375025_KS,0.0446138430459557,0.10347021940765626,False,False
116,MA0760.1.ERF,0.037817332038063395,TF_increase,0.07171446164672765_KS,0.6977920406227355,0.7655324554994006,False,False
117,MA1965.1.SP5,0.1149708059843079,TF_increase,0.2667387543252595_KS,0.0018642679927076107,0.00723335981170553,True,True
118,MA2101.1.ZNF677,-0.13067316891404926,TF_decrease,0.17977048926106848_KS,0.01854451240569352,0.04996715842645198,True,False
119,MA0139.2.CTCF,0.008448027635732498,TF_increase,0.10991174858741047_KS,0.2102065603223659,0.3226319275372372,False,False
120,MA0734.1.GLI2,0.19634664607936209,TF_increase,0.3528172826140446_KS,0.00023567049581240548,0.0011430019046901666,True,True
121,MA0131.2.HINFP,0.13164837302852944,TF_increase,0.22858139071528194_KS,0.0012771962255087818,0.005234705656662754,True,True
122,MA0030.1.FOXF2,-0.5227758498707512,TF_decrease,0.44546618344422206_KS,0.0006214615799855583,0.002803803407376705,True,True
123,MA1101.3.BACH2,-0.020978269342594096,TF_decrease,0.08179449683156001_KS,0.4809885797760379,0.5961309398664879,False,False
124,MA0821.2.HES5,-0.018280984839322743,TF_decrease,0.16291980808773132_KS,0.610029827118445,0.6958193378829809,False,False
125,MA0638.2.CREB3,-0.1467498273315463,TF_decrease,0.2796443828657199_KS,0.0005859026045518955,0.0026744730654839465,True,True
126,MA0763.1.ETV3,-0.03823286593518805,TF_decrease,0.09644056510914249_KS,0.05629122380252573,0.12362827265309424,False,False
127,MA0492.2.JUND,-0.2975088803970551,TF_decrease,0.31091024934222905_KS,2.3935605295953956e-09,2.8142469257061015e-08,True,True
128,MA1558.1.SNAI1,-0.3043303148197439,TF_decrease,0.3379962354551677_KS,0.03999243624728308,0.09466807857444638,False,False
129,MA0834.2.ATF7,-0.5661510574862347,TF_decrease,0.47673130193905816_KS,8.898270360067881e-11,1.418847493030002e-09,True,True
130,MA0090.2.TEAD1,0.060537235860722904,TF_increase,0.11067193675889328_KS,0.913540072304008,0.9270798990077291,False,False
131,MA1717.1.ZNF784,-0.0773841617584876,TF_decrease,0.36925476434176535_KS,0.23174443907501843,0.34672304252354946,False,False
132,MA0007.2.AR,0.04922974291505966,TF_increase,0.14818610370977658_KS,0.09731538147966247,0.1821143151805902,False,False
133,MA1713.2.ZNF610,0.25667054671611655,TF_increase,0.3844050551254985_KS,7.653148180520806e-13,1.7816528964252436e-11,True,True
134,MA0131.3.HINFP,0.1652878333360855,TF_increase,0.285264135569269_KS,8.544128087338912e-05,0.00045620940796616943,True,True
135,MA0695.2.ZBTB7C,0.0888988525952121,TF_increase,0.20690879634253248_KS,0.12497996849840495,0.22075369246152257,False,False
136,MA2099.1.ZNF770,0.1870953240218072,TF_increase,0.2709027117729198_KS,6.897765066854531e-10,8.921109486465194e-09,True,True
137,MA1554.1.RFX7,-0.038976223721353245,TF_decrease,0.0971885813148789_KS,0.7267672739367688,0.7869368435929291,False,False
138,MA0767.1.GCM2,0.23145140269674497,TF_increase,0.3266323024054983_KS,0.0039004464262279185,0.013675059157015956,True,False
139,MA0809.1.TEAD4,-0.019848274798829998,TF_decrease,0.14692756608307586_KS,0.6061088962162299,0.6958193378829809,False,False
140,MA1535.1.NR2C1,0.0922004302907388,TF_increase,0.16114552473292038_KS,0.01562542875776157,0.04372115162027516,True,False
141,MA0828.3.SREBF2,0.0451805018056461,TF_increase,0.07279598366986649_KS,0.7998786555512604,0.8464170500560609,False,False
142,MA0821.1.HES5,-0.0818593348024344,TF_decrease,0.18858447488584476_KS,0.4897198481077451,0.6038494737260756,False,False
143,MA0823.1.HEY1,0.03141517839904381,TF_increase,0.18959193030719854_KS,0.20766382162510091,0.31973636027991725,False,False
144,MA0600.1.RFX2,-0.0349437716659662,TF_decrease,0.06295631358467983_KS,0.5898872921051935,0.6921661371073037,False,False
145,MA0141.4.ESRRB,0.0143476769295975,TF_increase,0.07476505395057431_KS,0.8429769902645257,0.877723240727789,False,False
146,MA0138.1.REST,0.1973857686852681,TF_increase,0.2704600328322624_KS,3.333249209563741e-17,1.551960831972878e-15,True,True
147,MA0473.2.ELF1,-0.2688308696035457,TF_decrease,0.30599725839616176_KS,0.03786087234493332,0.09067912635700079,False,False
148,MA0510.1.RFX5,-0.026462582507853098,TF_decrease,0.05716132632786329_KS,0.389444521520195,0.5081989047640212,False,False
149,MA0908.2.HOXD11,-0.2137798847507558,TF_decrease,0.40902378999179656_KS,0.000577418722016423,0.0026565825787633057,True,True
150,MA0755.2.CUX2,-0.2993585127136127,TF_decrease,0.3852340487261122_KS,3.380184035183679e-30,1.9672671084769013e-27,True,True
151,MA0694.1.ZBTB7B,0.12352502543151579,TF_increase,0.26237964236588723_KS,0.027121266591672764,0.06877811397103943,False,False
152,MA0828.1.SREBF2,0.004715527687149203,TF_increase,0.11720462243474795_KS,0.2819812782589499,0.40065874571138027,False,False
153,MA1559.1.SNAI3,-0.30454776273635675,TF_decrease,0.3584529505582137_KS,0.07012332594210192,0.1457563417796547,False,False
154,MA1561.2.SOX12,-0.008446521415568446,TF_decrease,0.13057802713987474_KS,0.21603577437783014,0.3287132567003847,False,False
155,MA0595.1.SREBF1,-0.02641218591116975,TF_decrease,0.13600806176128988_KS,0.09508586368861902,0.17930181202430945,False,False
156,MA0477.2.FOSL1,-0.061733267013783746,TF_decrease,0.16653620595397842_KS,0.00398721957295297,0.01377188006800373,True,False
157,MA1140.1.JUNB,-0.5520614160606389,TF_decrease,0.48524768724655387_KS,1.5326482784960966e-10,2.2871828156018676e-09,True,True
158,MA0749.2.ZBED1,-0.09685068706449185,TF_decrease,0.14877645362398745_KS,6.579036170859187e-08,6.136838472670372e-07,True,True
159,MA1717.2.ZNF784,-0.038962797991633345,TF_decrease,0.40620736698499316_KS,0.21037597336835312,0.3226319275372372,False,False
160,MA1655.2.ZNF341,0.1721794442254121,TF_increase,0.30546669655045944_KS,0.00012003330395028175,0.0006200696412542742,True,True
161,MA0745.3.SNAI2,-0.14926392918065096,TF_decrease,0.2598012337217272_KS,0.11357188543956186,0.20537963989821392,False,False
