,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
546,MA1553.2.RARG,-0.49515921589761497,TF_decrease,0.3329180509413068_KS,0.11105108932646544,0.3932917040454207,False,False
547,MA0003.4.TFAP2A,-0.2087690197750417,TF_decrease,0.0893438685942605_KS,0.5292431147045723,0.8390617424586264,False,False
548,MA0714.1.PITX3,0.457607401209755,TF_increase,0.15163046967565705_KS,0.06906437616485339,0.27744127808302904,False,False
549,MA1470.2.BACH2,-0.2582379205258291,TF_decrease,0.1370858899184539_KS,0.45928020424543625,0.8046972556451262,False,False
550,MA0695.2.ZBTB7C,0.37212854844650073,TF_increase,0.1254201680672269_KS,0.5256052239570603,0.8372945324361117,False,False
551,MA0688.1.TBX2,0.4577944956477244,TF_increase,0.1682458645206882_KS,0.35163518908181424,0.7254712961164397,False,False
552,MA0105.3.NFKB1,0.49997809908248086,TF_increase,0.1956820383786676_KS,0.002367035710988392,0.029904346791516812,True,False
553,MA0706.1.MEOX2,-0.007581357410812999,TF_decrease,0.1857379767827529_KS,0.9024416328692231,0.9751724588962627,False,False
554,MA0070.1.PBX1,0.3029759986712425,TF_increase,0.16753012167768316_KS,0.5470131160101737,0.8501061577404581,False,False
555,MA0878.2.CDX1,0.3445602367835686,TF_increase,0.13291753291753292_KS,0.9236431330005892,0.9832548413952902,False,False
556,MA0696.1.ZIC1,-0.03538642129346815,TF_decrease,0.09862298479504195_KS,0.3702428787252586,0.7322157275133551,False,False
557,MA1566.2.TBX3,0.240520601142712,TF_increase,0.12291105121293801_KS,0.629849635136981,0.885935962007841,False,False
558,MA1656.2.ZNF449,-0.7211557559661496,TF_decrease,0.2563604403737626_KS,0.15964576069227956,0.4931132903638223,False,False
559,MA1714.1.ZNF675,0.5774463573988305,TF_increase,0.23451775739480504_KS,0.010321088661247275,0.07566607037640517,False,False
560,MA1483.1.ELF2,-1.2055255730635492,TF_decrease,0.2721226185021505_KS,5.6171375742905265e-06,0.00029387842490947254,True,True
561,MA0596.1.SREBF2,-0.2009687293286707,TF_decrease,0.1010320111443707_KS,0.32298005824119785,0.691506025396899,False,False
562,MA0523.1.TCF7L2,-0.20610883084093892,TF_decrease,0.18138474295190712_KS,0.9161902507793682,0.9800510953968892,False,False
563,MA1548.2.PLAGL2,-0.5411369326280332,TF_decrease,0.3581780538302277_KS,0.44183257770126594,0.788448522378538,False,False
564,MA1986.1.ZNF692,-0.2305482922278026,TF_decrease,0.1304095383410524_KS,0.6280961573174891,0.885935962007841,False,False
565,MA1636.2.CEBPG,-0.2920103732436581,TF_decrease,0.21017514595496248_KS,0.2535595604449893,0.6203906766433229,False,False
566,MA0819.3.CLOCK,0.5368729833718495,TF_increase,0.19016885669622818_KS,0.25469096402020935,0.6210790245492818,False,False
567,MA2324.1.BCL11A,-0.1133603729160186,TF_decrease,0.06406635009285504_KS,0.02801385494227114,0.15427725855767505,False,False
568,MA1649.2.ZBTB12,-0.6246532562928413,TF_decrease,0.20431893687707642_KS,0.6303923135398972,0.885935962007841,False,False
569,MA1642.2.NEUROG2,-0.34526494087508086,TF_decrease,0.08917933130699088_KS,0.6191772119047463,0.8854718846708194,False,False
